,ID,Comments,CommentsTokenized
16,3186,Wants a new number because he keeps on getting calls for a Mr. Napeleon Leroy.,"['Wants', 'a', 'new', 'number', 'because', 'he', 'keeps', 'on', 'getting', 'calls', 'for', 'a', 'Mr.', 'Napeleon', 'Leroy', '.']"
17,3721,He expected significantly better Technical Support.,"['He', 'expected', 'significantly', 'better', 'Technical', 'Support', '.']"
18,1802,He asked us to please take him off the outbound call list. In addition wants to change rate plan at the end of the year.,"['He', 'asked', 'us', 'to', 'please', 'take', 'him', 'off', 'the', 'outbound', 'call', 'list', '.', 'In', 'addition', 'wants', 'to', 'change', 'rate', 'plan', 'at', 'the', 'end', 'of', 'the', 'year', '.']"
19,375,Wanted more information on the family plan. Also asked about how he could use call screening.,"['Wanted', 'more', 'information', 'on', 'the', 'family', 'plan', '.', 'Also', 'asked', 'about', 'how', 'he', 'could', 'use', 'call', 'screening', '.']"
20,3264,Called about new plan. Might switch soon. Wants more minutes.,"['Called', 'about', 'new', 'plan', '.', 'Might', 'switch', 'soon', '.', 'Wants', 'more', 'minutes', '.']"
21,3707,Wants to know how to do text messaging. Referred him to web site.,"['Wants', 'to', 'know', 'how', 'to', 'do', 'text', 'messaging', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
22,1064,Said his battery never has worked well. Wants a new phone ASAP.,"['Said', 'his', 'battery', 'never', 'has', 'worked', 'well', '.', 'Wants', 'a', 'new', 'phone', 'ASAP', '.']"
23,930,Wants a new faceplate.,"['Wants', 'a', 'new', 'faceplate', '.']"
24,3315,Asked about how to change his ring tones. Referred him to web site.,"['Asked', 'about', 'how', 'to', 'change', 'his', 'ring', 'tones', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
25,2901,Wants to get an additional line working by the end of the week. Forwarded him on to customer care.,"['Wants', 'to', 'get', 'an', 'additional', 'line', 'working', 'by', 'the', 'end', 'of', 'the', 'week', '.', 'Forwarded', 'him', 'on', 'to', 'customer', 'care', '.']"
26,2464,Wants to know how to do text messaging. Referred him to web site.,"['Wants', 'to', 'know', 'how', 'to', 'do', 'text', 'messaging', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
27,191,Hopes to get an additonal line working by the end of the week for his wife.,"['Hopes', 'to', 'get', 'an', 'additonal', 'line', 'working', 'by', 'the', 'end', 'of', 'the', 'week', 'for', 'his', 'wife', '.']"
28,1460,Wants to know how to do text messaging. Referred him to web site.,"['Wants', 'to', 'know', 'how', 'to', 'do', 'text', 'messaging', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
29,3179,I wished the handset was bigger. It is uncomfortable using the handset for a long time.,"['I', 'wished', 'the', 'handset', 'was', 'bigger', '.', 'It', 'is', 'uncomfortable', 'using', 'the', 'handset', 'for', 'a', 'long', 'time', '.']"
30,2317,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.,"['Needs', 'help', 'learning', 'how', 'to', 'use', 'the', 'phone', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
31,3771,Really is unhappy with the website. Claims the self service stuff does not work. In addition thinks he phone does not work well.,"['Really', 'is', 'unhappy', 'with', 'the', 'website', '.', 'Claims', 'the', 'self', 'service', 'stuff', 'does', 'not', 'work', '.', 'In', 'addition', 'thinks', 'he', 'phone', 'does', 'not', 'work', 'well', '.']"
32,2491,Asked about how to change his ring tones. Referred him to web site.,"['Asked', 'about', 'how', 'to', 'change', 'his', 'ring', 'tones', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
33,956,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,"['Wants', 'to', 'change', 'rate', 'plans', 'to', 'get', 'family', 'all', 'on', 'same', 'bill', '.', 'I', 'transferred', 'him', 'to', 'customer', 'care', '.']"
34,3135,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
35,3236,Wants a new faceplate.,"['Wants', 'a', 'new', 'faceplate', '.']"
36,976,Wants an address change.,"['Wants', 'an', 'address', 'change', '.']"
37,2870,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.,"['He', 'lost', 'his', 'phone', 'and', 'called', 'to', 'cancel', 'service', '.', 'I', 'told', 'him', 'we', 'would', 'suspend', 'until', 'we', 'hear', 'back', 'from', 'him', '.', 'He', 'will', 'contact', 'us', 'soon', '.']"
38,2329,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.,"['Cant', 'get', 'his', 'call', 'forwarding', 'to', 'work', '.', 'I', 'should', 'him', 'how', 'and', 'how', 'to', 'get', 'a', 'couple', 'of', 'other', 'features', 'to', 'work', '.', 'I', 'also', 'pointed', 'him', 'to', 'the', 'web', 'site', '.']"
39,1379,"He is really unhappy with his bill. He says that there are numerous calls he has never made, but that show up on his phone. He says that he simply does not trust our system.","['He', 'is', 'really', 'unhappy', 'with', 'his', 'bill', '.', 'He', 'says', 'that', 'there', 'are', 'numerous', 'calls', 'he', 'has', 'never', 'made', ',', 'but', 'that', 'show', 'up', 'on', 'his', 'phone', '.', 'He', 'says', 'that', 'he', 'simply', 'does', 'not', 'trust', 'our', 'system', '.']"
40,1333,He does not know if the problems are related to the phone or if it is just the battery.,"['He', 'does', 'not', 'know', 'if', 'the', 'problems', 'are', 'related', 'to', 'the', 'phone', 'or', 'if', 'it', 'is', 'just', 'the', 'battery', '.']"
41,2659,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
42,690,Hopes to get an additonal line working by the end of the week for his wife.,"['Hopes', 'to', 'get', 'an', 'additonal', 'line', 'working', 'by', 'the', 'end', 'of', 'the', 'week', 'for', 'his', 'wife', '.']"
43,2608,Said his battery never has worked well. Wants a new phone ASAP.,"['Said', 'his', 'battery', 'never', 'has', 'worked', 'well', '.', 'Wants', 'a', 'new', 'phone', 'ASAP', '.']"
44,2775,Really is unhappy with the website. Claims the self service stuff does not work. In addition thinks he phone does not work well.,"['Really', 'is', 'unhappy', 'with', 'the', 'website', '.', 'Claims', 'the', 'self', 'service', 'stuff', 'does', 'not', 'work', '.', 'In', 'addition', 'thinks', 'he', 'phone', 'does', 'not', 'work', 'well', '.']"
45,2851,Said his battery never has worked well. Wants a new phone ASAP.,"['Said', 'his', 'battery', 'never', 'has', 'worked', 'well', '.', 'Wants', 'a', 'new', 'phone', 'ASAP', '.']"
46,587,He asked for a new phone number. I referred him to customer care.,"['He', 'asked', 'for', 'a', 'new', 'phone', 'number', '.', 'I', 'referred', 'him', 'to', 'customer', 'care', '.']"
47,3056,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.,"['Needs', 'help', 'learning', 'how', 'to', 'use', 'the', 'phone', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
48,1246,The handset really sucked. I could not hear anything near my house.,"['The', 'handset', 'really', 'sucked', '.', 'I', 'could', 'not', 'hear', 'anything', 'near', 'my', 'house', '.']"
49,1307,Handset sucked,"['Handset', 'sucked']"
50,1166,Hopes to get an additonal line working by the end of the week for his wife.,"['Hopes', 'to', 'get', 'an', 'additonal', 'line', 'working', 'by', 'the', 'end', 'of', 'the', 'week', 'for', 'his', 'wife', '.']"
51,2584,Asked how to disable call waiting. referred him to web site.,"['Asked', 'how', 'to', 'disable', 'call', 'waiting', '.', 'referred', 'him', 'to', 'web', 'site', '.']"
52,1225,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
53,3409,I suspect that the handset on my phone was defective from the day I bought it.,"['I', 'suspect', 'that', 'the', 'handset', 'on', 'my', 'phone', 'was', 'defective', 'from', 'the', 'day', 'I', 'bought', 'it', '.']"
54,1808,The reception near his home is really horrible. He knows exactly when his calls will drop. He wants to know what we are going to do to fix this? He says that if we do not fix it he will go to a different cell company and since we can not keep our end of t,"['The', 'reception', 'near', 'his', 'home', 'is', 'really', 'horrible', '.', 'He', 'knows', 'exactly', 'when', 'his', 'calls', 'will', 'drop', '.', 'He', 'wants', 'to', 'know', 'what', 'we', 'are', 'going', 'to', 'do', 'to', 'fix', 'this', '?', 'He', 'says', 'that', 'if', 'we', 'do', 'not', 'fix', 'it', 'he', 'will', 'go', 'to', 'a', 'different', 'cell', 'company', 'and', 'since', 'we', 'can', 'not', 'keep', 'our', 'end', 'of', 't']"
55,3180,"He hates his phone. He can not understand why we gave him such a horrible piece of rubbish. I tried to explain that he could bring it in for service, but he just wants a new phone. He does not want to waste any more time with the 3399. I asked customer car","['He', 'hates', 'his', 'phone', '.', 'He', 'can', 'not', 'understand', 'why', 'we', 'gave', 'him', 'such', 'a', 'horrible', 'piece', 'of', 'rubbish', '.', 'I', 'tried', 'to', 'explain', 'that', 'he', 'could', 'bring', 'it', 'in', 'for', 'service', ',', 'but', 'he', 'just', 'wants', 'a', 'new', 'phone', '.', 'He', 'does', 'not', 'want', 'to', 'waste', 'any', 'more', 'time', 'with', 'the', '3399', '.', 'I', 'asked', 'customer', 'car']"
56,1499,Needed help figuring out his bill. I explained our minute charges.,"['Needed', 'help', 'figuring', 'out', 'his', 'bill', '.', 'I', 'explained', 'our', 'minute', 'charges', '.']"
57,772,I expected significantly better service.,"['I', 'expected', 'significantly', 'better', 'service', '.']"
58,442,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,"['Wants', 'to', 'change', 'rate', 'plans', 'to', 'get', 'family', 'all', 'on', 'same', 'bill', '.', 'I', 'transferred', 'him', 'to', 'customer', 'care', '.']"
59,1646,Wants to change adress.,"['Wants', 'to', 'change', 'adress', '.']"
60,2236,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,"['Wants', 'to', 'change', 'rate', 'plans', 'to', 'get', 'family', 'all', 'on', 'same', 'bill', '.', 'I', 'transferred', 'him', 'to', 'customer', 'care', '.']"
61,1782,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
62,1148,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.,"['He', 'lost', 'his', 'phone', 'and', 'called', 'to', 'cancel', 'service', '.', 'I', 'told', 'him', 'we', 'would', 'suspend', 'until', 'we', 'hear', 'back', 'from', 'him', '.', 'He', 'will', 'contact', 'us', 'soon', '.']"
63,916,Wants to add another phone. Contacting provisioning.,"['Wants', 'to', 'add', 'another', 'phone', '.', 'Contacting', 'provisioning', '.']"
64,488,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
65,2341,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.,"['He', 'lost', 'his', 'phone', 'and', 'called', 'to', 'cancel', 'service', '.', 'I', 'told', 'him', 'we', 'would', 'suspend', 'until', 'we', 'hear', 'back', 'from', 'him', '.', 'He', 'will', 'contact', 'us', 'soon', '.']"
66,1360,cant figure out how to check his vm when out of area. I referred him to our web site.,"['cant', 'figure', 'out', 'how', 'to', 'check', 'his', 'vm', 'when', 'out', 'of', 'area', '.', 'I', 'referred', 'him', 'to', 'our', 'web', 'site', '.']"
67,140,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.,"['He', 'lost', 'his', 'phone', 'and', 'called', 'to', 'cancel', 'service', '.', 'I', 'told', 'him', 'we', 'would', 'suspend', 'until', 'we', 'hear', 'back', 'from', 'him', '.', 'He', 'will', 'contact', 'us', 'soon', '.']"
68,827,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
69,1085,transferred to manager ASAP,"['transferred', 'to', 'manager', 'ASAP']"
70,1110,Really wants the new phone from XVYX which has the PDA built in.,"['Really', 'wants', 'the', 'new', 'phone', 'from', 'XVYX', 'which', 'has', 'the', 'PDA', 'built', 'in', '.']"
71,1282,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.,"['Needs', 'help', 'learning', 'how', 'to', 'use', 'the', 'phone', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
72,983,Needed help figuring out his bill. I explained our minute charges.,"['Needed', 'help', 'figuring', 'out', 'his', 'bill', '.', 'I', 'explained', 'our', 'minute', 'charges', '.']"
73,2909,Hopes to get an additonal line working by the end of the week for his wife.,"['Hopes', 'to', 'get', 'an', 'additonal', 'line', 'working', 'by', 'the', 'end', 'of', 'the', 'week', 'for', 'his', 'wife', '.']"
74,3300,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.,"['Needs', 'help', 'learning', 'how', 'to', 'use', 'the', 'phone', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
75,2611,Lost his charger and wants to know where he can another ASAP. I suggested local store.,"['Lost', 'his', 'charger', 'and', 'wants', 'to', 'know', 'where', 'he', 'can', 'another', 'ASAP', '.', 'I', 'suggested', 'local', 'store', '.']"
76,3002,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,"['Wants', 'to', 'change', 'rate', 'plans', 'to', 'get', 'family', 'all', 'on', 'same', 'bill', '.', 'I', 'transferred', 'him', 'to', 'customer', 'care', '.']"
77,2993,Asked about how to change his ring tones. Referred him to web site.,"['Asked', 'about', 'how', 'to', 'change', 'his', 'ring', 'tones', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
78,1779,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
79,1448,Asked about how to change his ring tones. Referred him to web site.,"['Asked', 'about', 'how', 'to', 'change', 'his', 'ring', 'tones', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
80,3420,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
81,1645,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.,"['Cant', 'get', 'his', 'call', 'forwarding', 'to', 'work', '.', 'I', 'should', 'him', 'how', 'and', 'how', 'to', 'get', 'a', 'couple', 'of', 'other', 'features', 'to', 'work', '.', 'I', 'also', 'pointed', 'him', 'to', 'the', 'web', 'site', '.']"
82,900,Wants to know how to do text messaging. Referred him to web site.,"['Wants', 'to', 'know', 'how', 'to', 'do', 'text', 'messaging', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
83,2140,I needed a handset which also functioned as a PDA. You did not offer such a model.,"['I', 'needed', 'a', 'handset', 'which', 'also', 'functioned', 'as', 'a', 'PDA', '.', 'You', 'did', 'not', 'offer', 'such', 'a', 'model', '.']"
84,1087,He expected significantly better Technical Support.,"['He', 'expected', 'significantly', 'better', 'Technical', 'Support', '.']"
85,3716,He expected significantly better Technical Support.,"['He', 'expected', 'significantly', 'better', 'Technical', 'Support', '.']"
86,3156,Wants to add another phone. Contacting provisioning.,"['Wants', 'to', 'add', 'another', 'phone', '.', 'Contacting', 'provisioning', '.']"
87,2485,Asked about how to change his ring tones. Referred him to web site.,"['Asked', 'about', 'how', 'to', 'change', 'his', 'ring', 'tones', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
88,719,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.,"['Needs', 'help', 'learning', 'how', 'to', 'use', 'the', 'phone', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
89,2771,Needed help figuring out his bill. I explained our minute charges.,"['Needed', 'help', 'figuring', 'out', 'his', 'bill', '.', 'I', 'explained', 'our', 'minute', 'charges', '.']"
90,3725,Asked about how to change his ring tones. Referred him to web site.,"['Asked', 'about', 'how', 'to', 'change', 'his', 'ring', 'tones', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
91,3785,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.,"['Needs', 'help', 'learning', 'how', 'to', 'use', 'the', 'phone', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
92,782,"She wants a new phone. Has tried to use a couple of different model, but is now fed up. She is will ing to pay some of the cost, but wants a credit on her bill. She said her friend has the same service and a different phone that works great. She also wa","['She', 'wants', 'a', 'new', 'phone', '.', 'Has', 'tried', 'to', 'use', 'a', 'couple', 'of', 'different', 'model', ',', 'but', 'is', 'now', 'fed', 'up', '.', 'She', 'is', 'will', 'ing', 'to', 'pay', 'some', 'of', 'the', 'cost', ',', 'but', 'wants', 'a', 'credit', 'on', 'her', 'bill', '.', 'She', 'said', 'her', 'friend', 'has', 'the', 'same', 'service', 'and', 'a', 'different', 'phone', 'that', 'works', 'great', '.', 'She', 'also', 'wa']"
93,2891,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
94,2414,The signal on my handset was always weak. Even when I replaced the battery.,"['The', 'signal', 'on', 'my', 'handset', 'was', 'always', 'weak', '.', 'Even', 'when', 'I', 'replaced', 'the', 'battery', '.']"
95,1346,transferred to manager ASAP,"['transferred', 'to', 'manager', 'ASAP']"
96,2082,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.,"['He', 'lost', 'his', 'phone', 'and', 'called', 'to', 'cancel', 'service', '.', 'I', 'told', 'him', 'we', 'would', 'suspend', 'until', 'we', 'hear', 'back', 'from', 'him', '.', 'He', 'will', 'contact', 'us', 'soon', '.']"
97,1277,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.,"['Needs', 'help', 'learning', 'how', 'to', 'use', 'the', 'phone', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
98,954,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,"['Wants', 'to', 'change', 'rate', 'plans', 'to', 'get', 'family', 'all', 'on', 'same', 'bill', '.', 'I', 'transferred', 'him', 'to', 'customer', 'care', '.']"
99,1018,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
100,83,Said his battery never has worked well. Wants a new phone ASAP.,"['Said', 'his', 'battery', 'never', 'has', 'worked', 'well', '.', 'Wants', 'a', 'new', 'phone', 'ASAP', '.']"
101,36,Said his battery never has worked well. Wants a new phone ASAP.,"['Said', 'his', 'battery', 'never', 'has', 'worked', 'well', '.', 'Wants', 'a', 'new', 'phone', 'ASAP', '.']"
102,1119,He asked for a new phone number. I referred him to customer care.,"['He', 'asked', 'for', 'a', 'new', 'phone', 'number', '.', 'I', 'referred', 'him', 'to', 'customer', 'care', '.']"
103,239,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
104,3676,Lost the directions to phone and wants another manual. I referred him to web site.,"['Lost', 'the', 'directions', 'to', 'phone', 'and', 'wants', 'another', 'manual', '.', 'I', 'referred', 'him', 'to', 'web', 'site', '.']"
105,1831,He does not know if the problems are related to the phone or if it is just the battery.,"['He', 'does', 'not', 'know', 'if', 'the', 'problems', 'are', 'related', 'to', 'the', 'phone', 'or', 'if', 'it', 'is', 'just', 'the', 'battery', '.']"
106,2516,Called about new plan. Might switch soon. Wants more minutes.,"['Called', 'about', 'new', 'plan', '.', 'Might', 'switch', 'soon', '.', 'Wants', 'more', 'minutes', '.']"
107,3207,Wants to know how to do text messaging. Referred him to web site.,"['Wants', 'to', 'know', 'how', 'to', 'do', 'text', 'messaging', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
108,2624,Said his battery never has worked well. Wants a new phone ASAP.,"['Said', 'his', 'battery', 'never', 'has', 'worked', 'well', '.', 'Wants', 'a', 'new', 'phone', 'ASAP', '.']"
109,803,Very unhappy with new phone because it does not use a simm chip. He says he wll have to reenter all his information in his phone book and he finds that a waste of time. Claims other companies use simm to make this easier with their phones.,"['Very', 'unhappy', 'with', 'new', 'phone', 'because', 'it', 'does', 'not', 'use', 'a', 'simm', 'chip', '.', 'He', 'says', 'he', 'wll', 'have', 'to', 'reenter', 'all', 'his', 'information', 'in', 'his', 'phone', 'book', 'and', 'he', 'finds', 'that', 'a', 'waste', 'of', 'time', '.', 'Claims', 'other', 'companies', 'use', 'simm', 'to', 'make', 'this', 'easier', 'with', 'their', 'phones', '.']"
110,2963,Wants to know how to do text messaging. Referred him to web site.,"['Wants', 'to', 'know', 'how', 'to', 'do', 'text', 'messaging', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
111,1545,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.,"['Needs', 'help', 'learning', 'how', 'to', 'use', 'the', 'phone', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
112,626,Wants to add additional lines for family. Needs more info on rates.,"['Wants', 'to', 'add', 'additional', 'lines', 'for', 'family', '.', 'Needs', 'more', 'info', 'on', 'rates', '.']"
113,2185,Wants to know how to do text messaging. Referred him to web site.,"['Wants', 'to', 'know', 'how', 'to', 'do', 'text', 'messaging', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
114,3416,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
115,560,Asked how to disable call waiting. referred him to web site.,"['Asked', 'how', 'to', 'disable', 'call', 'waiting', '.', 'referred', 'him', 'to', 'web', 'site', '.']"
116,473,Needed help figuring out his bill. I explained our minute charges.,"['Needed', 'help', 'figuring', 'out', 'his', 'bill', '.', 'I', 'explained', 'our', 'minute', 'charges', '.']"
117,3430,Wants a new number because he keeps on getting calls for a Mr. Napeleon Leroy.,"['Wants', 'a', 'new', 'number', 'because', 'he', 'keeps', 'on', 'getting', 'calls', 'for', 'a', 'Mr.', 'Napeleon', 'Leroy', '.']"
118,2247,Called about new plan. Might switch soon. Wants more minutes.,"['Called', 'about', 'new', 'plan', '.', 'Might', 'switch', 'soon', '.', 'Wants', 'more', 'minutes', '.']"
119,2672,"He hates his phone. He can not understand why we gave him such a horrible piece of rubbish. I tried to explain that he could bring it in for service, but he just wants a new phone. He does not want to waste any more time with the 3399. I asked customer car","['He', 'hates', 'his', 'phone', '.', 'He', 'can', 'not', 'understand', 'why', 'we', 'gave', 'him', 'such', 'a', 'horrible', 'piece', 'of', 'rubbish', '.', 'I', 'tried', 'to', 'explain', 'that', 'he', 'could', 'bring', 'it', 'in', 'for', 'service', ',', 'but', 'he', 'just', 'wants', 'a', 'new', 'phone', '.', 'He', 'does', 'not', 'want', 'to', 'waste', 'any', 'more', 'time', 'with', 'the', '3399', '.', 'I', 'asked', 'customer', 'car']"
120,2855,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.,"['Cant', 'get', 'his', 'call', 'forwarding', 'to', 'work', '.', 'I', 'should', 'him', 'how', 'and', 'how', 'to', 'get', 'a', 'couple', 'of', 'other', 'features', 'to', 'work', '.', 'I', 'also', 'pointed', 'him', 'to', 'the', 'web', 'site', '.']"
121,3631,Hopes to get an additonal line working by the end of the week for his wife.,"['Hopes', 'to', 'get', 'an', 'additonal', 'line', 'working', 'by', 'the', 'end', 'of', 'the', 'week', 'for', 'his', 'wife', '.']"
